阅读,评论,标题,最后更新
69,0,PE34，近900多亿，减持专用提款机这么搞最后是一地鸡毛。,1900-06-04
92,2,900亿市值，利益透支的泡。,1900-06-03
45,0,长阴将至！血本无归！,1900-06-03
43,0,$东鹏饮料(SH605499)$,1900-06-03
389,0,快讯丨传三得利将收购波士顿啤酒；东鹏饮料回应减持担忧；物美创始人回应“实体店是否消失”；苏崇铭退任统一非执行董事……,1900-06-01
117,0,远离减持的股票，高管、大股东、二股东们比我们更加了解自己的企业，他们都不看好未来,1900-06-01
88,0,大股东高位卖公司,1900-06-01
83,0,远离庄股，10年股民的忠告,1900-06-01
79,0,东鹏饮料：融资净买入43.35万元，融资余额7927.5万元（05-31）,1900-06-01
718,0,东鹏饮料回应减持担忧 新品“东鹏补水啦”异军突起|直击业绩会,1900-05-31
224,5,月k杀，小心收盘集合竞价跌停板,1900-05-31
168,3,市值八百多亿，严重虚胖，打完一折再打个对折都还是有点虚,1900-05-31
115,0,这种减持服务的票一有风吹草动，瞬间翻脸不认人，能跌光你全布！诀不危言耸听，也不吓,1900-05-31
95,0,每天跌那么点太慢了,1900-05-31
91,1,总股本61％解禁，减持[怒],1900-05-31
86,0,人在做天在看！股市反其道而行，普通人难赚到钱。血汗钱请远离，下月很xx！！一句人,1900-05-31
84,1,天天刮风下雨，饮料没人买了。小心在历史大顶上坐大劳,1900-05-31
83,0,等着看,1900-05-31
78,0,量价扭曲！大跌降临。,1900-05-31
72,2,东鹏饮料散户无论赢亏都该走了，珍爱血汗钱,1900-05-31
66,3,这么丑恶的成交！是风险巨大化！托不住就塌,1900-05-31
62,0,这个财报太难看了，不好,1900-05-31
60,0,东鹏饮料：连续3日融资净偿还累计513.21万元（05-30）,1900-05-31
904,5,百润股份(002568)估值分析：4家机构认为“低估”——24Q1收入高基数下降速，静待新品驱动,1900-05-30
725,4,东鹏饮料遭二股东减持超1000万股 后者套现近19亿元,1900-05-30
369,0,东鹏饮料第大二股东君正投资减持套现约19亿元,1900-05-30
277,0,解禁公告后的股东减持，东鹏饮料第二大流通股东天津君正频繁减持,1900-05-30
209,7,特饮已经打出规模优势，在国内的功能饮料市场已经基本无敌了，而且公司的新品增速也快,1900-05-30
154,3,涨到天了，现在不走等什么,1900-05-30
142,0,【东鹏饮料股东天津君正套现超19亿元 】,1900-05-30
104,0,慢慢跌到21块,1900-05-30
87,0,这么明显的出货盘口[捂脸][捂脸][捂脸],1900-05-30
76,0,这是一个庄股,1900-05-30
63,0,东鹏饮料：融资净偿还80.63万元，融资余额8024.62万元（05-29）,1900-05-30
62,0,只要公司产品继续维持这种高增长态势，我的持股不会减持一股,1900-05-30
56,0,最贵St,1900-05-30
1077,0,东鹏饮料:东鹏饮料(集团)股份有限公司股东减持股份结果公告,1900-05-29
682,6,东鹏饮料第二大股东完成减持超1000万股 占总股本2.7085%,1900-05-29
406,0,东鹏饮料(605499.SH)：君正投资完成减持2.71%股份,1900-05-29
174,6,这么个名不经传的饮料竟然维持二百多元股价真是中国股票市场的奇迹！,1900-05-29
153,4,大家都要注意，提高警惕，可能会有一些媒体或者是水军频发利好来配合股东们的减持计划,1900-05-29
135,3,明天是5.30了！记住历史。长阴将至，久盘不是办法。该减持必减持！该回归必回归！,1900-05-29
131,1,价值洼地，赶紧买,1900-05-29
123,0,东鹏减持上头条了,1900-05-29
106,0,周k三连阴刀，月线告别线。缺口必补184见,1900-05-29
73,2,阴跌模式,1900-05-29
68,0,东鹏饮料：融资净偿还292.12万元，融资余额8105.25万元（05-28）,1900-05-29
352,2,前脚解禁 后脚东鹏饮料频遭股东减持,1900-05-28
351,1, 百亿东鹏饮料的背后：林木勤的专注与坚守 ,1900-05-28
333,1, 从技术员到“功能饮料第一股”掌舵人，林木勤的“创业”之路 ,1900-05-28
326,1, 2024中国品牌价值评价信息发布，东鹏饮料入选轻工榜 ,1900-05-28
238,1,从面临倒闭到创收百亿，林木勤如何靠东鹏特饮逆风翻盘,1900-05-28
220,2,品牌价值再获认可，东鹏饮料上榜2024中国品牌价值金榜,1900-05-28
215,2,2024中国品牌价值评价信息发布，东鹏饮料入选轻工榜,1900-05-28
169,0,创新赋能品牌活力，东鹏饮料品牌价值持续提升,1900-05-28
167,0,【君正投资减持东鹏饮料29.53万股】,1900-05-28
142,1,里面还有差不多一万股东，真不知道他们脑子里装的是什么。等那些股东减持完毕，可能他,1900-05-28
